lot_id,n_predecessors,n_successors,is_terminal,is_root
L000530,1,2,False,False
L000531,1,1,False,False
L000532,0,1,False,True
L000533,1,3,False,False
L000534,1,1,False,False
L000535,5,7,False,False
L000536,1,3,False,False
L000537,1,2,False,False
L000538,4,7,False,False
L000539,1,2,False,False
L000540,1,2,False,False
L000541,1,2,False,False
L000542,6,7,False,False
L000543,5,7,False,False
L000544,1,4,False,False
L000545,1,8,False,False
L000546,1,10,False,False
L000547,1,3,False,False
L000548,10,13,False,False
L000549,3,7,False,False
L000550,1,2,False,False
L000551,1,1,False,False
L000552,0,1,False,True
L000553,1,1,False,False
L000554,5,7,False,False
L000555,1,7,False,False
L000556,4,7,False,False
L000557,5,13,False,False
L000558,1,3,False,False
L000559,12,13,False,False
L000560,6,6,False,False
L000561,5,6,False,False
L000562,3,6,False,False
L000563,1,4,False,False
L000564,1,1,False,False
L000565,0,1,False,True
L000566,2,2,False,False
L000567,6,7,False,False
L000568,4,6,False,False
L000569,6,7,False,False
L000570,5,7,False,False
L000571,1,6,False,False
L000572,3,7,False,False
L000573,1,2,False,False
L000574,1,1,False,False
L000575,0,1,False,True
L000576,1,2,False,False
L000577,1,1,False,False
L000578,5,7,False,False
L000579,1,5,False,False
L000580,4,7,False,False
L000581,6,7,False,False
L000582,5,7,False,False
L000583,10,14,False,False
L000584,3,7,False,False
L000585,1,2,False,False
L000586,1,1,False,False
L000587,0,1,False,True
L000588,1,1,False,False
L000589,5,7,False,False
L000590,4,7,False,False
L000591,7,14,False,False
L000592,16,14,False,False
L000593,6,7,False,False
L000594,5,7,False,False
L000595,2,6,False,False
L000596,2,4,False,False
L000597,2,6,False,False
L000598,2,8,False,False
L000599,2,3,False,False
L000600,3,7,False,False
L000601,1,2,False,False
L000602,1,1,False,False
L000603,0,1,False,True
L000604,1,1,False,False
L000605,5,7,False,False
L000606,2,3,False,False
L000607,2,2,False,False
L000608,2,6,False,False
L000609,4,7,False,False
L000610,2,2,False,False
L000611,2,2,False,False
L000612,2,2,False,False
L000613,2,3,False,False
L000614,6,7,False,False
L000615,5,7,False,False
L000616,13,14,False,False
L000617,3,7,False,False
L000618,1,2,False,False
L000619,1,1,False,False
L000620,0,1,False,True
L000621,1,2,False,False
L000622,1,1,False,False
L000623,5,7,False,False
L000624,5,23,False,False
L000625,0,23,False,True
L000626,0,10,False,True
L000627,0,10,False,True
L000628,0,12,False,True
L000629,0,6,False,True
L000630,1,6,False,False
L000631,0,13,False,True
L000632,0,6,False,True
L000633,1,9,False,False
L000634,0,6,False,True
L000635,0,6,False,True
L000636,0,8,False,True
L000637,0,9,False,True
L000638,0,6,False,True
L000639,4,7,False,False
L000640,5,14,False,False
L000641,12,14,False,False
L000642,1,13,False,False
L000643,1,12,False,False
L000644,1,8,False,False
L000645,1,6,False,False
L000646,1,6,False,False
L000647,1,8,False,False
L000648,1,9,False,False
L000649,1,9,False,False
L000650,6,7,False,False
L000651,5,7,False,False
L000652,1,6,False,False
L000653,3,7,False,False
L000654,1,2,False,False
L000655,1,1,False,False
L000656,0,1,False,True
L000657,1,1,False,False
L000658,5,7,False,False
L000659,1,5,False,False
L000660,2,7,False,False
L000661,4,7,False,False
L000662,1,8,False,False
L000663,6,7,False,False
L000664,5,7,False,False
L000665,1,6,False,False
L000666,11,14,False,False
L000667,3,7,False,False
L000668,1,2,False,False
L000669,1,1,False,False
L000670,0,1,False,True
L000671,1,1,False,False
L000672,5,7,False,False
L000673,1,3,False,False
L000674,1,2,False,False
L000675,4,7,False,False
L000676,1,2,False,False
L000677,5,14,False,False
L000678,1,2,False,False
L000679,1,2,False,False
L000680,14,14,False,False
L000681,6,7,False,False
L000682,5,7,False,False
L000683,1,4,False,False
L000684,1,6,False,False
L000685,1,8,False,False
L000686,1,3,False,False
L000687,3,7,False,False
L000688,1,2,False,False
L000689,1,1,False,False
L000690,0,1,False,True
L000691,1,2,False,False
L000692,1,1,False,False
L000693,5,7,False,False
L000694,1,5,False,False
L000695,4,7,False,False
L000696,1,3,False,False
L000697,6,7,False,False
L000698,5,7,False,False
L000699,10,14,False,False
L000700,3,7,False,False
L000701,1,2,False,False
L000702,1,1,False,False
L000703,0,1,False,True
L000704,1,1,False,False
L000705,5,7,False,False
L000706,4,7,False,False
L000707,7,14,False,False
L000708,14,14,False,False
L000709,6,7,False,False
L000710,5,7,False,False
L000711,1,6,False,False
L000712,1,6,False,False
L000713,3,7,False,False
L000714,1,2,False,False
L000715,1,1,False,False
L000716,0,1,False,True
L000717,1,1,False,False
L000718,5,7,False,False
L000719,1,3,False,False
L000720,1,2,False,False
L000721,1,5,False,False
L000722,4,7,False,False
L000723,1,2,False,False
L000724,1,2,False,False
L000725,1,2,False,False
L000726,6,7,False,False
L000727,5,7,False,False
L000728,11,14,False,False
L000729,3,7,False,False
L000730,1,2,False,False
L000731,1,1,False,False
L000732,0,1,False,True
L000733,1,2,False,False
L000734,1,1,False,False
L000735,5,7,False,False
L000736,4,7,False,False
L000737,5,14,False,False
L000738,14,14,False,False
L000739,6,7,False,False
L000740,5,7,False,False
L000741,2,4,False,False
L000742,1,6,False,False
L000743,2,8,False,False
L000744,2,3,False,False
L000745,3,7,False,False
L000746,1,2,False,False
L000747,1,1,False,False
L000748,0,1,False,True
L000749,1,1,False,False
L000750,5,7,False,False
L000751,1,5,False,False
L000752,2,12,False,False
L000753,4,7,False,False
L000754,2,3,False,False
L000755,6,7,False,False
L000756,5,7,False,False
L000757,2,6,False,False
L000758,16,14,False,False
L000759,3,7,False,False
L000760,1,2,False,False
L000761,1,1,False,False
L000762,0,1,False,True
L000763,1,1,False,False
L000764,5,7,False,False
L000765,2,3,False,False
L000766,2,2,False,False
L000767,4,7,False,False
L000768,2,2,False,False
L000769,8,14,False,False
L000770,2,2,False,False
L000771,2,2,False,False
L000772,20,14,False,False
L000773,6,7,False,False
L000774,5,7,False,False
L000775,1,6,False,False
L000776,3,7,False,False
L000777,1,2,False,False
L000778,1,1,False,False
L000779,0,1,False,True
L000780,1,2,False,False
L000781,1,1,False,False
L000782,5,7,False,False
L000783,5,23,False,False
L000784,0,23,False,True
L000785,1,5,False,False
L000786,0,10,False,True
L000787,0,10,False,True
L000788,0,12,False,True
L000789,0,6,False,True
L000790,1,6,False,False
L000791,0,13,False,True
L000792,0,6,False,True
L000793,1,9,False,False
L000794,0,6,False,True
L000795,0,6,False,True
L000796,0,8,False,True
L000797,0,9,False,True
L000798,0,6,False,True
L000799,4,7,False,False
L000800,1,13,False,False
L000801,1,12,False,False
L000802,1,8,False,False
L000803,1,6,False,False
L000804,1,6,False,False
L000805,1,8,False,False
L000806,1,9,False,False
L000807,1,9,False,False
L000808,6,7,False,False
L000809,5,7,False,False
L000810,12,14,False,False
L000811,3,7,False,False
L000812,1,2,False,False
L000813,1,1,False,False
L000814,0,1,False,True
L000815,1,1,False,False
L000816,5,7,False,False
L000817,4,7,False,False
L000818,7,14,False,False
L000819,16,14,False,False
L000820,6,7,False,False
L000821,5,7,False,False
L000822,1,6,False,False
L000823,1,4,False,False
L000824,1,6,False,False
L000825,1,8,False,False
L000826,1,3,False,False
L000827,3,7,False,False
L000828,1,2,False,False
L000829,1,1,False,False
L000830,0,1,False,True
L000831,1,1,False,False
L000832,5,7,False,False
L000833,1,3,False,False
L000834,1,2,False,False
L000835,1,5,False,False
L000836,1,7,False,False
L000837,4,7,False,False
L000838,1,2,False,False
L000839,1,8,False,False
L000840,1,2,False,False
L000841,1,2,False,False
L000842,1,3,False,False
L000843,6,7,False,False
L000844,5,7,False,False
L000845,10,14,False,False
L000846,3,7,False,False
L000847,1,2,False,False
L000848,1,1,False,False
L000849,0,1,False,True
L000850,1,2,False,False
L000851,1,1,False,False
L000852,5,7,False,False
L000853,0,13,False,True
L000854,4,7,False,False
L000855,5,14,False,False
L000856,12,14,False,False
L000857,6,7,False,False
L000858,5,7,False,False
L000859,1,6,False,False
L000860,3,7,False,False
L000861,1,2,False,False
L000862,1,1,False,False
L000863,0,1,False,True
L000864,1,1,False,False
L000865,5,7,False,False
L000866,1,5,False,False
L000867,4,7,False,False
L000868,6,7,False,False
L000869,5,7,False,False
L000870,1,6,False,False
L000871,11,14,False,False
L000872,3,7,False,False
L000873,1,2,False,False
L000874,1,1,False,False
L000875,0,1,False,True
L000876,1,1,False,False
L000877,5,7,False,False
L000878,1,3,False,False
