lot_id,item_code,item_type,sku,block_id,qty,uom,need_by,consume_at,duration_h,operation,department,machines,min_aging_h,max_aging_h,pooled,member_blocks,sub
L001078,Cap 66 - MOTHER ROLL,Cap Strip,1325215813079TUNE3,B00720,48300.0,MM,2026-04-12 23:00:00+05:30,2026-04-12 19:53:59.040000+05:30,0.025967741935483866,FOUR ROLL CALENDAR,CALENDERING,"""901""",0.0,4.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882""]",0
L001079,EGSL01,Steel Belt Edge Strip,1325215813079TUNE3,B00720,229356.0,MM,2026-04-12 23:00:00+05:30,2026-04-12 19:40:23.039999+05:30,0.12742,EDGE GUM,SLITTER,"""601""",0.0,24.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882""]",0
L001080,HTPOLY350,CALANDARED ROLL,1325215813079TUNE3,B00720,181774.7913669065,MM,2026-04-12 23:00:00+05:30,2026-04-12 15:40:23.039999+05:30,0.0721328537170264,FOUR ROLL CALENDAR,CALENDERING,"""901""",4.0,72.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882""]",0
L001081,IL007,Inner Liner,1325215813079TUNE3,B00720,483000.0,MM,2026-04-12 23:00:00+05:30,2026-04-12 13:54:59.039999+05:30,0.322,RHC,CALENDERING,"""1101""",6.0,72.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882""]",0
L001082,IL3,FINAL COMPOUND,1325215813079TUNE3,B00720,920.0,KG,2026-04-12 23:00:00+05:30,2026-04-12 09:42:13.439999+05:30,0.128,FINAL MIXING,FINAL MIXING,F270,4.0,120.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882"", ""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884""]",0
L001083,JT466,FINAL COMPOUND,1325215813079TUNE3,B00720,1440.0,KG,2026-04-12 23:00:00+05:30,2026-04-12 13:42:11.369999+05:30,0.2,FINAL MIXING,FINAL MIXING,310,4.0,120.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882"", ""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884""]",0
L001084,PBP143,Ply,1325215813079TUNE3,B00720,483.0,NOS,2026-04-12 23:00:00+05:30,2026-04-12 19:54:59.039999+05:30,0.5366666666666667,PLY CUTTER,PLY CUTTER,"""1103""",0.0,24.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882""]",0
L001085,R158,FINAL COMPOUND,1325215813079TUNE3,B00720,675.0,KG,2026-04-12 23:00:00+05:30,2026-04-12 13:42:11.369999+05:30,0.096,FINAL MIXING,FINAL MIXING,"F270,310",4.0,120.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882"", ""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884""]",0
L001086,SWRS103,SideWall,1325215813079TUNE3,B00720,1173690.0000000002,MM,2026-04-12 23:00:00+05:30,2026-04-12 17:54:59.039999+05:30,0.6520500000000002,EXTRUSION,EXTRUDER,"""1001""",2.0,72.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882"", ""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883""]",0
L001087,T1333,FINAL COMPOUND,1325215813079TUNE3,B00720,2200.0,KG,2026-04-12 23:00:00+05:30,2026-04-12 13:35:57.064137+05:30,0.36166666666666664,FINAL MIXING,FINAL MIXING,"F270,310",4.0,120.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882"", ""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884""]",0
L001088,T15,FINAL COMPOUND,1325215813079TUNE3,B00720,660.0,KG,2026-04-12 23:00:00+05:30,2026-04-12 13:35:57.064137+05:30,0.1085,FINAL MIXING,FINAL MIXING,"F270,310",4.0,120.0,True,"[""B00720"", ""B00811"", ""B00900"", ""B01348"", ""B01526"", ""B01704"", ""B01882"", ""B00721"", ""B00812"", ""B00901"", ""B01349"", ""B01527"", ""B01705"", ""B01883"", ""B00722"", ""B00813"", ""B00902"", ""B01350"", ""B01528"", ""B01706"", ""B01884""]",0
