lot_id,item,item_type,sku,operation,department,machine,scheduled_start,scheduled_finish,duration_h,qty,uom,status
L000076,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3410""",2026-04-05 04:43:11+05:30,2026-04-05 05:38:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000140,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3404""",2026-04-05 04:43:11+05:30,2026-04-05 05:38:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000204,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3405""",2026-04-05 04:43:11+05:30,2026-04-05 05:38:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000720,JT466,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-04-05 04:53:51+05:30,2026-04-05 05:05:51+05:30,0.2,1440.0,KG,PLACED
L000723,R158,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-04-05 05:00:06+05:30,2026-04-05 05:05:51+05:30,0.096,675.0,KG,PLACED
L000705,IL007,Inner Liner,1325215813079TUNE3,RHC,CALENDERING,"""1101""",2026-04-05 05:35:39+05:30,2026-04-05 05:54:59+05:30,0.322,483000.0,MM,PLACED
L000269,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3403""",2026-04-05 05:38:12+05:30,2026-04-05 06:33:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000333,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3410""",2026-04-05 05:38:12+05:30,2026-04-05 06:33:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000397,GT 1503 NEO MSIL,GREEN_TYRE,1325215813079TUNE3,GT BUILDING,BUILDING,"""3404""",2026-04-05 05:38:12+05:30,2026-04-05 06:33:12+05:30,0.9169333333333334,69.0,NOS,PLACED
L000699,BA13001,Bead Apex,1325215813079TUNE3,BEAD APEXING,BEAD APEXING,""" 0301""",2026-04-05 05:47:41+05:30,2026-04-05 11:57:59+05:30,6.171666666666667,1932.0,NOS,PLACED
L000704,HTPOLY350,CALANDARED ROLL,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-04-05 06:19:43+05:30,2026-04-05 06:24:03+05:30,0.07213285371694445,181774.7913669065,MM,PLACED
CURE_B00697,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4502,2026-04-05 07:00:00+05:30,2026-04-05 15:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B00788,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4503,2026-04-05 07:00:00+05:30,2026-04-05 15:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B00877,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4504,2026-04-05 07:00:00+05:30,2026-04-05 15:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01325,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4509,2026-04-05 07:00:00+05:30,2026-04-05 15:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01503,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4511,2026-04-05 07:00:00+05:30,2026-04-05 15:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01681,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4513,2026-04-05 07:00:00+05:30,2026-04-05 15:00:00+05:30,8.0,69.0,NOS,PINNED
CURE_B01859,1325215813079TUNE3,CURING,1325215813079TUNE3,Curing,Curing,4515,2026-04-05 07:00:00+05:30,2026-04-05 15:00:00+05:30,8.0,69.0,NOS,PINNED
L000701,CPJ120,CALANDARED ROLL,1325215813079TUNE3,FOUR ROLL CALENDAR,CALENDERING,"""901""",2026-04-05 07:08:03+05:30,2026-04-05 07:12:47+05:30,0.07883791176444445,189210.9882352941,MM,PLACED
L000789,MB802,MASTER COMPOUND,1325215813079TUNE3,MASTER MIXING,MASTER MIXING,440M,2026-04-05 08:11:38+05:30,2026-04-05 08:17:28+05:30,0.09733333333333333,700.0,KG,PLACED
L000708,TRD 1503 NEO MSIL,Tread,1325215813079TUNE3,EXTRUSION,EXTRUDER,"""1002""",2026-04-05 08:53:31+05:30,2026-04-05 09:49:59+05:30,0.9410172413791666,1637370.0,MM,PLACED
L000707,SWRS103,SideWall,1325215813079TUNE3,EXTRUSION,EXTRUDER,"""1001""",2026-04-05 09:15:51+05:30,2026-04-05 09:54:59+05:30,0.65205,1173690.0000000002,MM,PLACED
L000719,IL3,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-04-05 09:17:59+05:30,2026-04-05 09:25:39+05:30,0.128,920.0,KG,PLACED
L000711,B350,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,310,2026-04-05 10:49:27+05:30,2026-04-05 10:58:27+05:30,0.15,840.0,KG,PLACED
L000712,B460,FINAL COMPOUND,1325215813079TUNE3,FINAL MIXING,FINAL MIXING,F270,2026-04-05 10:51:18+05:30,2026-04-05 10:58:03+05:30,0.1125,660.0,KG,PLACED
L000703,EGSL01,Steel Belt Edge Strip,1325215813079TUNE3,EDGE GUM,SLITTER,"""601""",2026-04-05 11:05:08+05:30,2026-04-05 11:12:47+05:30,0.12742,229356.0,MM,PLACED
L000697,B1-PBLT001,Steel Belt,1325215813079TUNE3,BELT CUTTER,CUTTING,"""801""",2026-04-05 11:22:47+05:30,2026-04-05 11:54:59+05:30,0.5366666666666666,483.0,NOS,PLACED
L000706,PBP143,Ply,1325215813079TUNE3,PLY CUTTER,PLY CUTTER,"""1103""",2026-04-05 11:22:47+05:30,2026-04-05 11:54:59+05:30,0.5366666666666666,483.0,NOS,PLACED
