block_id,sku,need_by,wave_id
B00883,1325215813079TUNE3,2026-04-07 07:00:00+05:30,2
B00884,1325215813079TUNE3,2026-04-07 15:00:00+05:30,2
B00885,1325215813079TUNE3,2026-04-07 23:00:00+05:30,2
B00886,1325215813079TUNE3,2026-04-08 07:00:00+05:30,2
B00887,1325215813079TUNE3,2026-04-08 15:00:00+05:30,2
B00888,1325215813079TUNE3,2026-04-08 23:00:00+05:30,2
B00889,1325215813079TUNE3,2026-04-09 07:00:00+05:30,2
B00890,1325215813079TUNE3,2026-04-09 15:00:00+05:30,2
B00891,1325215813079TUNE3,2026-04-09 23:00:00+05:30,2
B00892,1325215813079TUNE3,2026-04-10 07:00:00+05:30,3
B00893,1325215813079TUNE3,2026-04-10 15:00:00+05:30,3
B00894,1325215813079TUNE3,2026-04-10 23:00:00+05:30,3
B00895,1325215813079TUNE3,2026-04-11 07:00:00+05:30,3
B00896,1325215813079TUNE3,2026-04-11 15:00:00+05:30,3
B00897,1325215813079TUNE3,2026-04-11 23:00:00+05:30,3
B00898,1325215813079TUNE3,2026-04-12 07:00:00+05:30,3
B00899,1325215813079TUNE3,2026-04-12 15:00:00+05:30,3
B00900,1325215813079TUNE3,2026-04-12 23:00:00+05:30,3
B00901,1325215813079TUNE3,2026-04-13 07:00:00+05:30,4
B00902,1325215813079TUNE3,2026-04-13 15:00:00+05:30,4
B00903,1325215813079TUNE3,2026-04-13 23:00:00+05:30,4
B00904,1325215813079TUNE3,2026-04-14 07:00:00+05:30,4
B00905,1325215813079TUNE3,2026-04-14 15:00:00+05:30,4
B00906,1325215813079TUNE3,2026-04-14 23:00:00+05:30,4
B00907,1325215813079TUNE3,2026-04-15 07:00:00+05:30,4
B00908,1325215813079TUNE3,2026-04-15 15:00:00+05:30,4
B00909,1325215813079TUNE3,2026-04-15 23:00:00+05:30,4
B00910,1325215813079TUNE3,2026-04-16 07:00:00+05:30,5
B00911,1325215813079TUNE3,2026-04-16 15:00:00+05:30,5
B00912,1325215813079TUNE3,2026-04-16 23:00:00+05:30,5
B00913,1325215813079TUNE3,2026-04-17 07:00:00+05:30,5
B00914,1325215813079TUNE3,2026-04-17 15:00:00+05:30,5
B00915,1325215813079TUNE3,2026-04-17 23:00:00+05:30,5
B00916,1325215813079TUNE3,2026-04-18 07:00:00+05:30,5
B00917,1325215813079TUNE3,2026-04-18 15:00:00+05:30,5
B00918,1325215813079TUNE3,2026-04-18 23:00:00+05:30,5
B00919,1325215813079TUNE3,2026-04-19 07:00:00+05:30,6
B00920,1325215813079TUNE3,2026-04-19 15:00:00+05:30,6
B00921,1325215813079TUNE3,2026-04-19 23:00:00+05:30,6
B00922,1325215813079TUNE3,2026-04-20 07:00:00+05:30,6
