ItemCode,ItemType
BW18004,Bead Bundle
BW18005,Bead Bundle
BW18006,Bead Bundle
BW19001,Bead Bundle
BW19002,Bead Bundle
BW20001,Bead Bundle
CAP 66,Cap Strip
CAP STRIP 28,CALANDARED ROLL
CAP30,CALANDARED ROLL
CAR 1402 XPC TATA,Carcass
CAR 1412 XPC MM,Carcass
CAR 1422 MAX,Carcass
CAR 1432 NXT,Carcass
CAR 1442 UHL,Carcass
CAR 1452 XPC MM,Carcass
CAR 1453 MAX,Carcass
CAR 1462 NXT,Carcass
CAR 1472 NXT,Carcass
CAR 1482 NXT,Carcass
CAR 1482 UHL,Carcass
CAR 1483 UHL,Carcass
CAR 1492 NEO,Carcass
CAR 1492 UHL,Carcass
CAR 1502 XPC1,Carcass
CAR 1503 NEO MSIL,Carcass
CAR 1512 XPC1,Carcass
CAR 1513 NEO,Carcass
CAR 1513 XPC1 MSIL,Carcass
CAR 1523 UHL,Carcass
CAR 1533 NEO TATA,Carcass
CAR 1543 NEO,Carcass
CAR 1543 XPC1,Carcass
CAR 1553 MAX,Carcass
CAR 1564 NEO,Carcass
CAR 1583 NEO TATA,Carcass
CAR 1583 VEC NISSA,Carcass
CAR 1593 NEO,Carcass
CAR 1593 NEO TATA,Carcass
CAR 1604 UXT,Carcass
CAR 1614 XPC NISSA,Carcass
CAR 1623 UHL,Carcass
CAR 1624 XPC,Carcass
CAR 1634 XPC TATA,Carcass
CAR 1644 MAX,Carcass
CAR 1654 EZO TOU,Carcass
CAR 1654 UXT,Carcass
CAR 1664 SPT,Carcass
CAR 1672 SPT,Carcass
CAR 1673 NEO,Carcass
CAR 1674 MAX,Carcass
CAR 1684 ROYL,Carcass
CAR 1684 SPT,Carcass
CAR 1684 TOR MARUT,Carcass
CAR 1685 XPC,Carcass
CAR 1694 UXT,Carcass
CAR 1713 NEO EXP,Carcass
CAR 1714 XPC GM,Carcass
CAR 1724 UXT,Carcass
CAR 1754 VEC TL,Carcass
CAR 1765 ROYL,Carcass
CAR 1772 NEO,Carcass
CAR 1773 NEO,Carcass
CAR 1774 VEC,Carcass
CAR 1784 VEC,Carcass
CAR 1804 XPC TT,Carcass
CAR 1805 VEC,Carcass
CAR 1814 XPC,Carcass
CAR 1816 RAN BRT,Carcass
CAR 1824 XPC1,Carcass
CAR 1825 UXT,Carcass
CAR 1834 VEC EXP,Carcass
CAR 1835 UXT,Carcass
CAR 1844 UXT,Carcass
CAR 1844 VEC NISSA,Carcass
CAR 1844 XPC TML,Carcass
CAR 1854 ROYL,Carcass
CAR 1854 XPC TT,Carcass
CAR 1855 ROYL HYU,Carcass
CAR 1856 ROYL,Carcass
CAR 1864 SPT,Carcass
CAR 1865 ROYL RENO,Carcass
CAR 1873 NEO,Carcass
CAR 1874 VEC MM,Carcass
CAR 1875 ALP,Carcass
CAR 1884 ROYL,Carcass
CAR 1885 MAX,Carcass
CAR 1886 BRU MM,Carcass
CAR 1894 MAX,Carcass
CAR 1895 MAX,Carcass
CAR 1905 XPC1,Carcass
CAR 1914 XPC1,Carcass
CAR 1915 LT XPC1,Carcass
CAR 1916 ROYL,Carcass
CAR 1924 XPC1,Carcass
CAR 1925 XPC1,Carcass
CAR 1935 UX1 EXP,Carcass
CAR 1936 ROYL,Carcass
CAR 1945 ALP,Carcass
CAR 1946 ROYL,Carcass
CAR 1955 UX1,Carcass
CAR 1956 BLA HPE,Carcass
CAR 1956 UXT,Carcass
CAR 1956 VEC,Carcass
CAR 1964 SPT,Carcass
CAR 1965 ROYL,Carcass
CAR 1965 UX1,Carcass
CAR 1966 RAN HPE,Carcass
CAR 1975 UX1 EXP,Carcass
CAR 1985 ROYL,Carcass
CAR 1985 UX1 XL,Carcass
CAR 1995 ROYL KIA,Carcass
CAR 2015 RAN ATW,Carcass
CAR 2016 RAN ATW,Carcass
CAR 2017 RAN HTW,Carcass
CAR 2025 UX1 EXP,Carcass
CAR 2026 UX1 EXP,Carcass
CAR 2035 EZO TOU,Carcass
CAR 2045 BLA HT,Carcass
CAR 2046 ROYL,Carcass
CAR 2047 ROYL HYU,Carcass
CAR 2055 RAN HT,Carcass
CAR 2056 ROYL,Carcass
CAR 2056 UX1,Carcass
CAR 2057 UX1,Carcass
CAR 2065 UX1,Carcass
CAR 2066 MAX,Carcass
CAR 2075 RAN AT,Carcass
CAR 2076 RAN HT,Carcass
CAR 2096 UXT,Carcass
CAR 2115 RAN HTW,Carcass
CAR 2116 ROYL HYU,Carcass
CAR 2117 RAN HTW,Carcass
CAR 2125 RAN AT,Carcass
CAR 2126 ROYL,Carcass
CAR 2155 BRU,Carcass
CAR 2156 BLA HT,Carcass
CAR 2157 RAN HPE,Carcass
CAR 2157 ROYL KIA,Carcass
CAR 2157 UX1,Carcass
CAR 2158 RAN HT,Carcass
CAR 2158 ROYL HYU,Carcass
CAR 2166 BLA HT,Carcass
CAR 2166 RAN HPE,Carcass
CAR 2167 RAN HPE,Carcass
CAR 2167 RAN HT,Carcass
CAR 2175 RAN HT,Carcass
CAR 2176 RAN HT,Carcass
CAR 2177 RAN HT,Carcass
CAR 2216 RAN HT,Carcass
CAR 2217 UX1,Carcass
CAR 2226 LEVI,Carcass
CAR 2227 UX1 EXP,Carcass
CAR 2237 ROYL,Carcass
CAR 2247 LEVI,Carcass
CAR 2256 ROYL,Carcass
CAR 2257 UX1,Carcass
CAR 2258 RAN HPE,Carcass
CAR 2266 RAN HT,Carcass
CAR 2267 ROYL HYU,Carcass
CAR 2267 ROYL PG,Carcass
CAR 2268 UX1,Carcass
